ID,Room Num,Floor,Description,Wing,Department
40,ABC00002,G,UNIFORM EXCHANGE,GRD FLOOR WEST WING,FM VILLAGE
41,ABC00003,G,PORTERS LODGE,GRD FLOOR WEST WING,FM VILLAGE
42,ABC00004,G,STORE WHEELCHAIR TROLLY,GRD FLOOR WEST WING,FM VILLAGE
43,ABC00005,G,LOBBY,GRD FLOOR WEST WING,FM VILLAGE
44,ABC00006,G,IT HUB ROOM,GRD FLOOR WEST WING,FM VILLAGE
45,ABC00007,G,SATELLITE CCTV,GRD FLOOR WEST WING,FM VILLAGE
46,ABC00008,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,FM VILLAGE
47,ABC00009,G,DIRTY LINEN HOLD,GRD FLOOR WEST WING,FM VILLAGE
48,ABC00010,G,RADIOACTIVE WASTE,GRD FLOOR WEST WING,FM VILLAGE
49,ABC00011,G,OFFICE WASTE MGR,GRD FLOOR WEST WING,FM VILLAGE
50,ABC00012,G,ENTRANCE,GRD FLOOR WEST WING,FM VILLAGE
51,ABC00013,G,RECEIPT & DISPATCH,GRD FLOOR WEST WING,FM VILLAGE
52,ABC00014,G,STORE CURTAIN,GRD FLOOR WEST WING,FM VILLAGE
53,ABC00015,G,SEWING ROOM,GRD FLOOR WEST WING,FM VILLAGE
54,ABC00016,G,OFFICE,GRD FLOOR WEST WING,FM VILLAGE
55,ABC00017,G,LOADING BAY DOCK,GRD FLOOR WEST WING,FM VILLAGE
56,ABC00018,G,STORE,GRD FLOOR WEST WING,FM VILLAGE
57,ABC00019,G,OFFICE GENERAL,GRD FLOOR WEST WING,FM VILLAGE
58,ABC00020,G,STORE DISPOSABLES,GRD FLOOR WEST WING,FM VILLAGE
59,ABC00021,G,OFFICE,GRD FLOOR WEST WING,FM VILLAGE
60,ABC00022,G,STORE EQUIPMENT,GRD FLOOR WEST WING,FM VILLAGE
61,ABC00023,G,STORE MACHINE,GRD FLOOR WEST WING,FM VILLAGE
62,ABC00024,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,FM VILLAGE
63,ABC00025,G,CUPBOARD CLEANERS,GRD FLOOR WEST WING,FM VILLAGE
64,ABC00026,G,DIRTY HOLD,GRD FLOOR WEST WING,FM VILLAGE
65,ABC00027,G,LOBBY,GRD FLOOR WEST WING,FM VILLAGE
66,ABC00028,G,CORRIDOR,GRD FLOOR WEST WING,FM VILLAGE
67,ABC00029,G,LOBBY,GRD FLOOR WEST WING,FM VILLAGE
68,ABC00030,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,FM VILLAGE
69,ABC00031,G,DELIVERY AND RECEIPT,GRD FLOOR WEST WING,FM VILLAGE
70,ABC00032,G,CORRIDOR,GRD FLOOR WEST WING,FM VILLAGE
71,ABC00033,G,TRUST MAT & MAN ST,GRD FLOOR WEST WING,FM VILLAGE
72,ABC00034,G,LAUNDRY ROOM,GRD FLOOR WEST WING,FM VILLAGE
73,ABC00035,G,VOID,GRD FLOOR WEST WING,FM VILLAGE
74,ABC00036,G,STORE EQUIPMENT,GRD FLOOR WEST WING,FM VILLAGE
75,ABC00037,G,FM LINEN,GRD FLOOR WEST WING,FM VILLAGE
76,ABC00038,G,FM CLEAN HOLD,GRD FLOOR WEST WING,FM VILLAGE
77,ABC00039,G,FM DIRTY HOLD,GRD FLOOR WEST WING,FM VILLAGE
78,ABC00040,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,FM VILLAGE
79,ABC00041,G,CUPBOARD CLEANERS,GRD FLOOR WEST WING,FM VILLAGE
80,ABC00042,G,SHOWER,GRD FLOOR WEST WING,FM VILLAGE
81,ABC00043,G,CHANGING ROOM MALE,GRD FLOOR WEST WING,FM VILLAGE
82,ABC00044,G,CHANGING ROOM FEMALE,GRD FLOOR WEST WING,FM VILLAGE
83,ABC00045,G,UNIFORM,GRD FLOOR WEST WING,FM VILLAGE
84,ABC00046,G,CHANGING ROOM FEMALE,GRD FLOOR WEST WING,FM VILLAGE
85,ABC00047,G,UNIFORM,GRD FLOOR WEST WING,FM VILLAGE
86,ABC00048,G,CHANGING ROOM MALE,GRD FLOOR WEST WING,FM VILLAGE
87,ABC00049,G,OFFICE,GRD FLOOR WEST WING,FM VILLAGE
88,ABC00050,G,OFFICE,GRD FLOOR WEST WING,FM VILLAGE
89,ABC00051,G,RISER CUPBOARD M/A/3/G,GRD FLOOR WEST WING,FM VILLAGE
90,ABC00052,G,RISER CUPBOARD E/A/1/G,GRD FLOOR WEST WING,FM VILLAGE
91,ABC00053,G,CORRIDOR,GRD FLOOR WEST WING,FM VILLAGE
92,ABC00054,G,CORRIDOR,GRD FLOOR WEST WING,FM VILLAGE
93,ABC00055,G,LOBBY,GRD FLOOR WEST WING,FM VILLAGE
94,ABC00056,G,CORRIDOR,GRD FLOOR WEST WING,FM VILLAGE
95,ABC00057,G,WASTE LINEN AND DESP,GRD FLOOR WEST WING,FM VILLAGE
96,ABC00058,G,STORE CHEMICALS,GRD FLOOR WEST WING,COOK CHILL
97,ABC00059,G,STORE FROZEN GOODS,GRD FLOOR WEST WING,COOK CHILL
98,ABC00060,G,SALAD AND FRUIT STORE,GRD FLOOR WEST WING,COOK CHILL
99,ABC00061,G,STORE MEAT CHILL,GRD FLOOR WEST WING,COOK CHILL
100,ABC00062,G,KITCHEN DIET,GRD FLOOR WEST WING,COOK CHILL
101,ABC00063,G,KITCHEN COLD,GRD FLOOR WEST WING,COOK CHILL
102,ABC00064,G,UTENSIL WASH,GRD FLOOR WEST WING,COOK CHILL
103,ABC00065,G,CART HOLDING AND WASH,GRD FLOOR WEST WING,COOK CHILL
104,ABC00066,G,LOBBY HYGIENE,GRD FLOOR WEST WING,COOK CHILL
105,ABC00067,G,PATIENT MEAL ASSEMBLEY,GRD FLOOR WEST WING,COOK CHILL
106,ABC00068,G,STORE CHILLED,GRD FLOOR WEST WING,COOK CHILL
107,ABC00069,G,STORE DAIRY,GRD FLOOR WEST WING,COOK CHILL
108,ABC00070,G,STORE BREAD,GRD FLOOR WEST WING,COOK CHILL
109,ABC00071,G,CUPBOARD CLEANERS,GRD FLOOR WEST WING,COOK CHILL
110,ABC00072,G,GOODS MARSHALLING AREA,GRD FLOOR WEST WING,COOK CHILL
111,ABC00073,G,STORE DEEP FREEZE,GRD FLOOR WEST WING,COOK CHILL
112,ABC00074,G,STORE CONSUMABLES,GRD FLOOR WEST WING,COOK CHILL
113,ABC00075,G,STORE DRY GOODS,GRD FLOOR WEST WING,COOK CHILL
114,ABC00076,G,CORRIDOR,GRD FLOOR WEST WING,COOK CHILL
115,ABC00077,G,CORRIDOR,GRD FLOOR WEST WING,FM VILLAGE
116,ABC00078,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,FM VILLAGE
117,ABD00001,G,JUNIOR DRS,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
118,ABD00002,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
119,ABD00003,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
120,ABD00004,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
121,ABD00005,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
122,ABD00006,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
123,ABD00007,G,OFFICE CONSULTING SEC/FILING,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
124,ABD00008,G,INTERVIEW ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
125,ABD00009,G,OFFICE BREAST CARE NURSES,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
126,ABD00010,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
127,ABD00011,G,OFFICE DATA MANAGER,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
128,ABD00012,G,CORRIDOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
129,ABD00013,G,SUBWAIT,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
130,ABD00014,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
131,ABD00015,G,STORE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
132,ABD00016,G,WC DISABLED,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
133,ABD00017,G,OFFICE NURSE'S,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
134,ABD00018,G,SEMINAR ROOM/LIBRARY,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
135,ABD00019,G,OFFICE / MONITOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
136,ABD00020,G,RECORDS,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
137,ABD00021,G,OFFICE CONSULTING SEC/ FILING,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
138,ABD00022,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
139,ABD00023,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
140,ABD00024,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
141,ABD00025,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
142,ABD00026,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
143,ABD00027,G,STAFF ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
144,ABD00028,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
145,ABD00029,G,OFFICE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
146,ABD00030,G,CUPBOARD LINEN,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
147,ABD00031,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
148,ABD00032,G,OFFICE MANAGER,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
149,ABD00033,G,OFFICE MANAGER,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
150,ABD00034,G,SECRETARY,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
151,ABD00035,G,OFFICE DIRECTOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
152,ABD00036,G,PHYSICIST,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
153,ABD00037,G,CORRIDOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
154,ABD00038,G,CORRIDOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
155,ABD00039,G,MEETING ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
156,ABD00040,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
157,ABD00041,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
158,ABD00042,G,STUDENTS,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
159,ABD00043,G,PHYSICIST,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
160,ABD00044,G,PHYSICIST,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
161,ABD00045,G,RADIATION PROTECTION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
162,ABD00046,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
163,ABD00047,G,UNIFORM HOLD,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
164,ABD00048,G,CHANGING ROOM MALE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
165,ABD00049,G,WC MALE CHANGE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
166,ABD00050,G,SHOWER,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
167,ABD00051,G,CHANGING ROOM FEMALE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
168,ABD00052,G,WC FEMALE CHANGE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
169,ABD00053,G,SHOWER,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
170,ABD00055,G,COURTYARD C,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
171,ABE00001,G,SCREENING,GRD FLOOR WEST WING,BREAST SCREENING
172,ABE00002,G,DARK ROOM,GRD FLOOR WEST WING,BREAST SCREENING
173,ABE00003,G,STORE,GRD FLOOR WEST WING,BREAST SCREENING
174,ABE00004,G,FILING AREA,GRD FLOOR WEST WING,BREAST SCREENING
175,ABE00005,G,STORE GENERAL,GRD FLOOR WEST WING,BREAST SCREENING
176,ABE00006,G,STORE PRINT MAIL,GRD FLOOR WEST WING,BREAST SCREENING
177,ABE00007,G,CLINIC DIRECT,GRD FLOOR WEST WING,BREAST SCREENING
178,ABE00008,G,ULTRASOUND,GRD FLOOR WEST WING,BREAST SCREENING
179,ABE00009,G,QUALITY,GRD FLOOR WEST WING,BREAST SCREENING
180,ABE00010,G,ULTRASOUND,GRD FLOOR WEST WING,BREAST SCREENING
181,ABE00011,G,OFFICE CONSULTANT,GRD FLOOR WEST WING,BREAST SCREENING
182,ABE00012,G,SUBWAIT,GRD FLOOR WEST WING,BREAST SCREENING
183,ABE00013,G,OFFICE CONSULTANT,GRD FLOOR WEST WING,BREAST SCREENING
184,ABE00014,G,OFFICE CONSULTANT,GRD FLOOR WEST WING,BREAST SCREENING
185,ABE00015,G,MAMMOGRAPHY,GRD FLOOR WEST WING,BREAST SCREENING
186,ABE00016,G,VIEWERS,GRD FLOOR WEST WING,BREAST SCREENING
187,ABE00017,G,KITCHEN,GRD FLOOR WEST WING,BREAST SCREENING
188,ABE00018,G,OFFICE RADIOGRAPHERS,GRD FLOOR WEST WING,BREAST SCREENING
189,ABE00019,G,WAITING,GRD FLOOR WEST WING,BREAST SCREENING
190,ABE00020,G,WC DISABLED,GRD FLOOR WEST WING,BREAST SCREENING
191,ABE00021,G,WC,GRD FLOOR WEST WING,BREAST SCREENING
192,ABE00022,G,FITTING,GRD FLOOR WEST WING,BREAST SCREENING
193,ABE00023,G,NURSE,GRD FLOOR WEST WING,BREAST SCREENING
194,ABE00024,G,EXAMINATION,GRD FLOOR WEST WING,BREAST SCREENING
195,ABE00025,G,CHANGING ROOM PATIENTS,GRD FLOOR WEST WING,BREAST SCREENING
196,ABE00026,G,BREAST SCREEN MAIN RECEPTION,GRD FLOOR WEST WING,BREAST SCREENING
197,ABE00027,G,CORRIDOR,GRD FLOOR WEST WING,BREAST SCREENING
198,ABE00028,G,CORRIDOR,GRD FLOOR WEST WING,BREAST SCREENING
199,ABE00029,G,STORE,GRD FLOOR WEST WING,BREAST SCREENING
200,ABE00030,G,MAMMOGRAPHY,GRD FLOOR WEST WING,BREAST SCREENING
201,ABE00031,G,X RAY PROCESSING,GRD FLOOR WEST WING,BREAST SCREENING
202,ABE00032,G,MAMMOGRAPHY,GRD FLOOR WEST WING,BREAST SCREENING
203,ABE00033,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,BREAST SCREENING
204,ABE00034,G,RISER CUPBOARD E/A/2/G,GRD FLOOR WEST WING,ENDOSCOPY
205,ABE00035,G,DIRTY HOLD,GRD FLOOR WEST WING,BREAST SCREENING
206,ABE00036,G,LINEN STORE,GRD FLOOR WEST WING,BREAST SCREENING
207,ABE00037,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,BREAST SCREENING
208,ABF00001,G,CUPBOARD CLEANERS,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
209,ABF00002,G,WAITING AREA,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
210,ABF00003,G,VOLUNTEERS,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
211,ABF00004,G,CLINIC PREP/GEN ADMI,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
212,ABF00005,G,RECEPTION ARDEN CANCER CENTRE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
213,ABF00006,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
214,ABF00007,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
215,ABF00008,G,WC DISABLED,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
216,ABF00009,G,LOBBY,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
217,ABF00010,G,WHEELCHR / TROLLEYS,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
218,ABF00011,G,RESOURCE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
219,ABF00012,G,COMPLIMENT THERAPY,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
220,ABF00013,G,PHOTOCOPIER,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
221,ABF00014,G,MEDICAL NOTES,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
222,ABF00015,G,OFFICE CONSULTANT,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
223,ABF00016,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
224,ABF00017,G,STORE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
225,ABF00018,G,CORRIDOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
226,ABF00019,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
227,ABF00020,G,PHLEBOTOMY,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
228,ABF00021,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
229,ABF00022,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
230,ABF00023,G,PROCEDURE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
231,ABF00024,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
232,ABF00025,G,OFFICE CONSULTANT,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
233,ABF00026,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
234,ABF00027,G,OFFICE SISTER'S,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
235,ABF00028,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
236,ABF00029,G,OFFICE CONSULTANT,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
237,ABF00030,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
238,ABF00031,G,INTERVIEW/COUNSELLING,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
239,ABF00032,G,OFFICE CONSULTANT,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
240,ABF00033,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
241,ABF00034,G,STORE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
242,ABF00035,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
243,ABF00036,G,OFFICE CONSULTANT,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
244,ABF00037,G,MACMILLIAN NURSES,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
245,ABF00038,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
246,ABF00039,G,COURTYARD E,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
247,ABG00001,G,LINEAR ACCELERATOR,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
248,ABG00002,G,BUNKER 7,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
249,ABG00003,G,CUPBOARD,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
250,ABG00004,G,STORE,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
251,ABG00005,G,CONTROL AREA,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
252,ABG00006,G,STORE DOSIMETRY,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
253,ABG00007,G,STORE DOSIMETRY,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
254,ABG00008,G,CONTROL AREA,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
255,ABG00009,G,CORRIDOR,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
256,ABG00010,G,STORE,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
257,ABG00011,G,CUPBOARD,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
258,ABG00012,G,BUNKER 5,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
259,ABG00013,G,LINEAR ACCELERATOR,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
260,ABG00014,G,BUNKER 6,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
261,ABG00015,G,LINEAR ACCELERATOR,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
262,ABG00016,G,CONTROL AREA,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
263,ABG00017,G,CONTROL AREA,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
264,ABG00018,G,SUPERFICIAL XRAY,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
265,ABG00019,G,CUPBOARD,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
266,ABG00020,G,BED BAY,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
267,ABG00021,G,LAB TLD,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
268,ABG00022,G,IT HUB ROOM,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
269,ABG00023,G,WORKSHOP RADIOTHERPY,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
270,ABG00024,G,EXPOSURE ROOM,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
271,ABG00025,G,CUPBOARD ELECTRIC,GRD FLOOR WEST WING,RADIOTHERAPHY BUNKERS
272,ABG00026,G,CORRIDOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
273,ABG00027,G,LAB DOSIMETRY,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
274,ABG00028,G,LAB TREATMENT PLANNG,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
275,ABG00029,G,COMPUTER ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
276,ABG00030,G,IMPRESSION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
277,ABG00031,G,MOULD ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
278,ABG00032,G,STORE MOULD,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
279,ABG00033,G,PLASTER ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
280,ABG00034,G,MACHINE ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
281,ABG00035,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
282,ABG00036,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
283,ABG00037,G,PHYSICISTS,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
284,ABG00038,G,ALIGNMENT,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
285,ABG00039,G,CORRIDOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
286,ABG00040,G,PRE TREATMENT,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
287,ABG00041,G,CORRIDOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
288,ABG00042,G,WAITING AREA,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
289,ABG00043,G,STAFF BASE,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
290,ABG00044,G,CHANGING ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
291,ABG00045,G,CHANGING ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
292,ABG00046,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
293,ABG00047,G,WC,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
294,ABG00048,G,WC DISABLED,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
295,ABG00049,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
296,ABG00050,G,EXAMINATION,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
297,ABG00051,G,STORE NOTES,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
298,ABG00052,G,MARK UP,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
299,ABG00053,G,CORRIDOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
300,ABG00054,G,WC DISABLED,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
301,ABG00055,G,WAITING AREA,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
302,ABG00056,G,SIMULATOR,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
303,ABG00057,G,CONTROL ROOM,GRD FLOOR WEST WING,ARDEN CANCER CENTRE
